jenis_makanan,manufacturer,serving_size,kalori,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,usia
"ikan sunu, asin, mentah",Tidak Diketahui,20.30 g,199.0,34.1,7.1,3.8,0.0,377.0,0.0,9.26,56.83,2.18,5.67,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
"soto pekalongan, masakan",Tidak Diketahui,1.30 g,94.0,3.0,5.1,6.8,0.0,0.0,0.3,4.37,5.0,1.57,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
marie duo,Tidak Diketahui,1 g,15.0,1.0,14.0,3.5,5.0,85.0,1.0,4.19,1.67,4.31,5.22,5.67,10.0,6.0,0.0,0.0,0.0,0.0,0.0,75
"kaparende, sayur",Tidak Diketahui,1.30 g,38.0,2.4,2.6,2.0,0.0,170.0,1.5,1.77,4.0,0.8,2.99,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
kacang lebui / iris,Tidak Diketahui,3.60 g,346.0,16.5,66.6,1.5,0.0,17.0,37.3,16.09,27.5,20.49,2.24,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
the coffe bean & tea leaf pure vanilla ice blended drink,Tidak Diketahui,15 g,410.0,15.0,70.0,9.0,63.0,0.0,0.0,19.07,25.0,21.54,13.43,0.0,0.0,0.0,25.0,22.0,20.0,0.0,0.0,12
dairy queen banana split,Tidak Diketahui,4 g,520.0,9.0,92.0,14.0,72.0,0.0,4.0,24.19,15.0,28.31,20.9,0.0,0.0,0.0,0.0,29.0,25.0,21.0,0.0,31
"gembili, ubi, segar",Tidak Diketahui,1 g,131.0,1.1,31.3,0.2,0.0,10.0,1.1,6.09,1.83,9.63,0.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
baked lotus paste mooncake with two egg yolks,Tidak Diketahui,0.85 g,223.0,4.05,20.5,13.79,0.0,0.0,0.85,10.37,6.75,6.31,20.58,0.0,0.0,0.0,7.0,0.0,11.0,21.0,0.0,14
cumi-cumi,Tidak Diketahui,0.90 g,75.0,16.1,0.1,0.7,0.0,37.0,0.0,3.49,26.83,0.03,1.04,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
"kunyit, segar",Tidak Diketahui,1.30 g,69.0,2.0,9.1,2.7,0.0,6.0,0.6,3.21,3.33,2.8,4.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
the coffe bean & tea leaf black forest ice blended drink,Tidak Diketahui,12 g,490.0,12.0,89.0,10.0,76.0,0.0,0.0,22.79,20.0,27.38,14.93,0.0,0.0,0.0,20.0,28.0,23.0,0.0,0.0,71
